action_index,action_id,action_type,host,timestamp,duration_seconds,status,error,container_action_confirmed_at,health_observed_at,detection_latency_seconds
0,room0,bot.create_room,001,2026-08-13T03:41:07.050316+00:00,18.814134916989133,ok,,,,
1,room0_h001_1,bot.join_room,001,2026-08-13T03:41:25.868804+00:00,8.117846959037706,ok,,,,
2,room0_h002_1,bot.join_room,002,2026-08-13T03:41:33.990349+00:00,9.989854833926074,ok,,,,
3,room0_h002_2,bot.join_room,002,2026-08-13T03:41:43.982000+00:00,9.592657209024765,ok,,,,
4,room0_h003_1,bot.join_room,003,2026-08-13T03:41:53.575693+00:00,8.937748333904892,ok,,,,
5,room0_h003_2,bot.join_room,003,2026-08-13T03:42:02.516717+00:00,8.992256958037615,ok,,,,
6,room0_h004_1,bot.join_room,004,2026-08-13T03:42:11.514272+00:00,11.572967792046256,ok,,,,
7,room0_h004_2,bot.join_room,004,2026-08-13T03:42:23.091681+00:00,10.233908207970671,ok,,,,
8,room0_h005_1,bot.join_room,005,2026-08-13T03:42:33.325934+00:00,8.029331333003938,ok,,,,
9,room0_h005_2,bot.join_room,005,2026-08-13T03:42:41.347727+00:00,9.823132166988216,ok,,,,
10,,bot.delete_room,001,2026-08-13T03:42:51.167130+00:00,0.5701468749903142,ok,,,,
11,,bot.delete_room,001,2026-08-13T03:47:47.671513+00:00,0.6013988750055432,ok,,,,
12,,bot.delete_room,002,2026-08-13T03:47:48.277115+00:00,0.4230095830280334,ok,,,,
13,,bot.delete_room,002,2026-08-13T03:47:48.703500+00:00,0.3990848750108853,ok,,,,
14,,bot.delete_room,003,2026-08-13T03:47:49.104823+00:00,0.4873430000152439,ok,,,,
15,,bot.delete_room,003,2026-08-13T03:47:49.595819+00:00,0.4885284169577062,ok,,,,
16,,bot.delete_room,004,2026-08-13T03:47:50.086124+00:00,0.4100402909098193,ok,,,,
17,,bot.delete_room,004,2026-08-13T03:47:50.497258+00:00,0.42727608303539455,ok,,,,
18,,bot.delete_room,005,2026-08-13T03:47:50.927828+00:00,0.5464250419754535,ok,,,,
19,,bot.delete_room,005,2026-08-13T03:47:51.475933+00:00,0.5274789170362055,ok,,,,
