step_index,concurrency,duration_seconds,sample_ticks,field,avg,p95,min,max,sample_count
0,2,374.1817080974579,10,avg_latency_ms,50.15,109.0,34.0,109.0,10
0,2,374.1817080974579,10,avg_packet_loss,0.0,0.0,0.0,0.0,10
0,2,374.1817080974579,10,avg_jitter_ms,7.2,10.0,5.0,10.0,10
0,2,374.1817080974579,10,avg_bitrate_up_kbps,718.75595,977.979,294.558,977.979,10
0,2,374.1817080974579,10,avg_bitrate_down_kbps,695.24965,959.062,259.2105,959.062,10
0,2,374.1817080974579,10,freeze_count_total,0.0,0.0,0.0,0.0,10
0,2,374.1817080974579,10,pause_count_total,0.0,0.0,0.0,0.0,10
0,2,374.1817080974579,10,avg_connection_setup_ms,241.6,359.0,124.5,359.0,10
0,2,374.1817080974579,10,ice_success_rate,1.0,1.0,1.0,1.0,10
0,2,374.1817080974579,10,avg_av_sync_drift_ms,0.0,0.0,0.0,0.0,10
whole_run,,,14,avg_latency_ms,50.15,109.0,34.0,109.0,10
whole_run,,,14,avg_packet_loss,0.0,0.0,0.0,0.0,10
whole_run,,,14,avg_jitter_ms,7.2,10.0,5.0,10.0,10
whole_run,,,14,avg_bitrate_up_kbps,718.75595,977.979,294.558,977.979,10
whole_run,,,14,avg_bitrate_down_kbps,695.24965,959.062,259.2105,959.062,10
whole_run,,,14,freeze_count_total,0.0,0.0,0.0,0.0,10
whole_run,,,14,pause_count_total,0.0,0.0,0.0,0.0,10
whole_run,,,14,avg_connection_setup_ms,241.6,359.0,124.5,359.0,10
whole_run,,,14,ice_success_rate,1.0,1.0,1.0,1.0,10
whole_run,,,14,avg_av_sync_drift_ms,0.0,0.0,0.0,0.0,10
